date,sales,channel1,channel2,channel3,event_bf,event_summer
2023-11-20,185356.24,9177.06,0.0,497.09,1.0,0.0
2023-11-27,297031.11,17409.79,18846.57,6774.62,1.0,0.0
2023-12-04,190258.68,15682.67,0.0,6336.95,0.0,0.0
2023-12-11,203706.23,8354.29,0.0,15343.59,0.0,0.0
2023-12-18,197788.51,15925.64,0.0,6947.05,0.0,0.0
2023-12-25,201099.05,3384.44,18984.37,3957.16,0.0,0.0
2024-01-01,185793.56,7994.85,0.0,8596.04,0.0,0.0
2024-01-08,240203.16,18683.97,18935.95,9286.26,0.0,0.0
2024-01-15,221864.33,16060.98,0.0,18706.01,0.0,0.0
2024-01-22,199253.48,7402.92,0.0,9775.27,0.0,0.0
2024-01-29,206958.76,16121.11,0.0,8980.53,0.0,0.0
2024-02-05,195144.91,5684.68,0.0,7636.65,0.0,0.0
2024-02-12,197426.19,7067.49,0.0,10414.27,0.0,0.0
2024-02-19,188505.21,14104.24,18634.46,49.19,0.0,0.0
2024-02-26,193329.17,19877.21,0.0,6462.06,0.0,0.0
2024-03-04,178339.84,8808.81,0.0,3270.92,0.0,0.0
2024-03-11,141617.37,5149.27,0.0,1606.81,0.0,0.0
2024-03-18,174468.78,5359.83,0.0,5951.89,0.0,0.0
2024-03-25,174755.18,8277.43,0.0,7694.41,0.0,0.0
2024-04-01,154438.02,4200.93,0.0,4361.86,0.0,0.0
2024-04-08,162897.37,19790.83,0.0,2159.78,0.0,0.0
2024-04-15,174900.9,3688.15,0.0,5205.19,0.0,0.0
2024-04-22,147899.86,5017.36,0.0,3242.25,0.0,0.0
2024-04-29,173679.4,3156.5,0.0,7257.21,0.0,0.0
2024-05-06,137240.96,19721.52,0.0,587.79,0.0,0.0
2024-05-13,180203.78,3198.7,0.0,6164.53,0.0,0.0
2024-05-20,177295.05,18012.12,0.0,4555.04,0.0,0.0
2024-05-27,229879.77,15369.82,17374.29,6330.3,0.0,0.0
2024-06-03,187860.15,8521.45,0.0,2433.97,0.0,0.0
2024-06-10,143132.43,6668.54,0.0,1637.26,0.0,0.0
2024-06-17,208118.22,19053.63,0.0,9442.42,0.0,0.0
2024-06-24,220564.17,6346.65,18890.43,4481.09,0.0,0.0
2024-07-01,201235.64,15293.49,0.0,3672.39,0.0,0.0
2024-07-08,197390.92,7455.58,0.0,20017.32,0.0,0.0
2024-07-15,201353.92,9007.35,0.0,3604.2,0.0,1.0
2024-07-22,178047.77,4847.83,0.0,8185.65,0.0,0.0
2024-07-29,136454.38,5609.25,0.0,1941.1,0.0,0.0
2024-08-05,182199.71,16592.75,0.0,6127.24,0.0,0.0
2024-08-12,167595.78,4868.36,0.0,5411.66,0.0,0.0
2024-08-19,197193.0,18507.93,0.0,14731.9,0.0,0.0
2024-08-26,206016.43,15853.64,0.0,11278.5,0.0,0.0
2024-09-02,197183.75,15839.5,0.0,9067.85,0.0,0.0
2024-09-09,170867.58,8791.01,0.0,4484.12,0.0,0.0
2024-09-16,165043.58,9067.27,0.0,4058.16,0.0,0.0
2024-09-23,240616.22,6004.71,17210.35,12192.53,0.0,0.0
2024-09-30,230163.43,19045.19,17764.62,4651.19,0.0,0.0
2024-10-07,214519.69,16325.14,0.0,10666.74,0.0,0.0
2024-10-14,173356.89,4548.6,0.0,3897.27,0.0,0.0
2024-10-21,180314.5,6568.0,0.0,7168.92,0.0,0.0
2024-10-28,158176.04,5356.98,0.0,4166.43,0.0,0.0
2024-11-04,171912.04,6454.92,0.0,5729.69,0.0,0.0
2024-11-11,185124.68,8969.5,0.0,12199.98,0.0,0.0
2024-11-18,153569.06,8916.18,0.0,3032.48,0.0,0.0
2024-11-25,279417.9,8022.19,0.0,12534.45,1.0,0.0
2024-12-02,221740.71,4087.89,19989.03,5441.23,0.0,0.0
2024-12-09,210916.49,18358.35,0.0,5774.76,0.0,0.0
2024-12-16,183165.55,9240.0,0.0,5167.7,0.0,0.0
2024-12-23,151011.76,8974.91,0.0,3047.5,0.0,0.0
2024-12-30,168955.96,9255.22,0.0,4111.57,0.0,0.0
2025-01-06,167267.78,8865.66,0.0,2769.9,0.0,0.0
2025-01-13,197055.93,17062.2,0.0,5606.88,0.0,0.0
2025-01-20,217353.48,14925.22,0.0,12854.06,0.0,0.0
2025-01-27,211888.2,7447.54,0.0,21691.43,0.0,0.0
2025-02-03,172172.09,17118.96,0.0,515.94,0.0,0.0
2025-02-10,172133.34,5097.37,0.0,3156.71,0.0,0.0
2025-02-17,197619.75,4914.33,0.0,7576.92,0.0,0.0
2025-02-24,213285.58,18155.34,0.0,13257.48,0.0,0.0
2025-03-03,224093.27,8075.4,17946.62,1439.19,0.0,0.0
2025-03-10,205405.97,6400.36,0.0,5595.26,0.0,0.0
2025-03-17,211173.81,8375.25,0.0,10780.82,0.0,0.0
2025-03-24,216575.98,4596.92,0.0,25436.35,0.0,0.0
2025-03-31,193398.92,14991.4,0.0,2492.17,0.0,0.0
2025-04-07,200253.7,15588.12,0.0,4989.6,0.0,0.0
2025-04-14,219836.9,19955.49,0.0,7100.1,0.0,0.0
2025-04-21,202775.26,16250.06,0.0,3297.06,0.0,0.0
2025-04-28,237782.88,16697.21,0.0,18269.67,0.0,0.0
2025-05-05,259533.77,7663.71,19766.01,4599.74,0.0,0.0
2025-05-12,236744.2,8356.59,0.0,9039.29,0.0,0.0
2025-05-19,215721.34,14555.17,0.0,9323.68,0.0,0.0
2025-05-26,195081.69,6765.51,0.0,4124.75,0.0,0.0
2025-06-02,188461.13,8643.07,0.0,4254.51,0.0,0.0
2025-06-09,164338.16,4283.76,0.0,2507.44,0.0,0.0
2025-06-16,250051.16,8578.42,18365.91,13687.11,0.0,0.0
2025-06-23,179034.12,3555.11,0.0,2961.54,0.0,0.0
2025-06-30,233738.38,8494.34,17277.39,7009.29,0.0,0.0
2025-07-07,219633.69,5965.41,0.0,15586.55,0.0,0.0
2025-07-14,243735.62,8091.96,0.0,19128.04,0.0,1.0
2025-07-21,202522.58,6825.85,0.0,10847.59,0.0,0.0
2025-07-28,200651.26,4331.72,0.0,14086.71,0.0,0.0
2025-08-04,194033.19,4623.39,0.0,16156.9,0.0,0.0
2025-08-11,180307.14,3420.27,0.0,6411.52,0.0,0.0
2025-08-18,185622.0,9171.99,0.0,4628.47,0.0,0.0
2025-08-25,169355.61,8517.34,0.0,3698.27,0.0,0.0
2025-09-01,241279.43,19739.0,17551.54,5853.36,0.0,0.0
2025-09-08,256733.96,15234.97,18670.83,8703.17,0.0,0.0
2025-09-15,247029.34,8417.7,0.0,12544.22,0.0,0.0
2025-09-22,257158.84,8224.81,18472.02,10163.34,0.0,0.0
2025-09-29,178451.09,4462.22,0.0,3297.39,0.0,0.0
2025-10-06,164983.99,16405.09,0.0,1877.25,0.0,0.0
2025-10-13,214109.43,9214.44,17295.79,3357.58,0.0,0.0
2025-10-20,201370.86,8552.28,0.0,4987.97,0.0,0.0
2025-10-27,192325.94,7231.28,0.0,6125.62,0.0,0.0
2025-11-03,210082.55,15967.02,0.0,6898.82,0.0,0.0
2025-11-10,204616.24,18926.86,0.0,4185.21,0.0,0.0
2025-11-17,236550.18,18780.53,0.0,11219.41,0.0,0.0
2025-11-24,315120.07,3713.61,17261.0,3872.19,1.0,0.0
2025-12-01,179649.64,14642.02,0.0,1572.88,0.0,0.0
2025-12-08,265663.17,2732.38,19873.62,8745.04,0.0,0.0
2025-12-15,216816.98,7581.63,0.0,6744.5,0.0,0.0
2025-12-22,191730.47,8659.05,0.0,3712.64,0.0,0.0
2025-12-29,196329.56,5122.86,0.0,8042.48,0.0,0.0
